id,option,value
gMR29l,nothing,1
gMR29l,creamer,0
gMR29l,sweetener,0
gMR29l,flavor,0
gMR29l,other,0
BkPN0e,nothing,1
BkPN0e,creamer,0
BkPN0e,sweetener,1
BkPN0e,flavor,0
BkPN0e,other,0
W5G8jj,nothing,1
W5G8jj,creamer,0
W5G8jj,sweetener,0
W5G8jj,flavor,0
W5G8jj,other,0
4xWgGr,nothing,1
4xWgGr,creamer,0
4xWgGr,sweetener,0
4xWgGr,flavor,0
4xWgGr,other,0
QD27Q8,nothing,1
QD27Q8,creamer,0
QD27Q8,sweetener,0
QD27Q8,flavor,0
QD27Q8,other,0
V0LPeM,nothing,0
V0LPeM,creamer,0
V0LPeM,sweetener,0
V0LPeM,flavor,0
V0LPeM,other,0
V0Gaxg,nothing,1
V0Gaxg,creamer,0
V0Gaxg,sweetener,0
V0Gaxg,flavor,0
V0Gaxg,other,0
AdzRL0,nothing,
AdzRL0,creamer,
AdzRL0,sweetener,
AdzRL0,flavor,
AdzRL0,other,
LbWda2,nothing,1
LbWda2,creamer,0
LbWda2,sweetener,0
LbWda2,flavor,0
LbWda2,other,0
EXQLWN,nothing,0
EXQLWN,creamer,0
EXQLWN,sweetener,0
EXQLWN,flavor,0
EXQLWN,other,0
2eNLJg,nothing,
2eNLJg,creamer,
2eNLJg,sweetener,
2eNLJg,flavor,
2eNLJg,other,
xpa2K9,nothing,
xpa2K9,creamer,
xpa2K9,sweetener,
xpa2K9,flavor,
xpa2K9,other,
V00RoJ,nothing,
V00RoJ,creamer,
V00RoJ,sweetener,
V00RoJ,flavor,
V00RoJ,other,
7WWB4A,nothing,0
7WWB4A,creamer,1
7WWB4A,sweetener,1
7WWB4A,flavor,1
7WWB4A,other,0
pKL8aB,nothing,1
pKL8aB,creamer,0
pKL8aB,sweetener,0
pKL8aB,flavor,0
pKL8aB,other,0
Zd694B,nothing,1
Zd694B,creamer,1
Zd694B,sweetener,0
Zd694B,flavor,0
Zd694B,other,0
QAeYZY,nothing,1
QAeYZY,creamer,0
QAeYZY,sweetener,0
QAeYZY,flavor,0
QAeYZY,other,0
QA5JYA,nothing,0
QA5JYA,creamer,1
QA5JYA,sweetener,1
QA5JYA,flavor,0
QA5JYA,other,0
Rz5BPj,nothing,
Rz5BPj,creamer,
Rz5BPj,sweetener,
Rz5BPj,flavor,
Rz5BPj,other,
jyDqva,nothing,0
jyDqva,creamer,1
jyDqva,sweetener,0
jyDqva,flavor,0
jyDqva,other,0
eB7QoJ,nothing,
eB7QoJ,creamer,
eB7QoJ,sweetener,
eB7QoJ,flavor,
eB7QoJ,other,
24xzlg,nothing,1
24xzlg,creamer,0
24xzlg,sweetener,0
24xzlg,flavor,0
24xzlg,other,0
DVvoqX,nothing,0
DVvoqX,creamer,1
DVvoqX,sweetener,0
DVvoqX,flavor,0
DVvoqX,other,0
1r2YJQ,nothing,1
1r2YJQ,creamer,0
1r2YJQ,sweetener,0
1r2YJQ,flavor,0
1r2YJQ,other,0
24xYOV,nothing,1
24xYOV,creamer,0
24xYOV,sweetener,0
24xYOV,flavor,0
24xYOV,other,0
AlbYao,nothing,0
AlbYao,creamer,1
AlbYao,sweetener,0
AlbYao,flavor,1
AlbYao,other,0
J2krYz,nothing,1
J2krYz,creamer,0
J2krYz,sweetener,0
J2krYz,flavor,0
J2krYz,other,0
WAp6ak,nothing,
WAp6ak,creamer,
WAp6ak,sweetener,
WAp6ak,flavor,
WAp6ak,other,
aBr18q,nothing,
aBr18q,creamer,
aBr18q,sweetener,
aBr18q,flavor,
aBr18q,other,
42NYWO,nothing,
42NYWO,creamer,
42NYWO,sweetener,
42NYWO,flavor,
42NYWO,other,
6dQ08e,nothing,0
6dQ08e,creamer,1
6dQ08e,sweetener,0
6dQ08e,flavor,0
6dQ08e,other,0
J2kj9J,nothing,1
J2kj9J,creamer,0
J2kj9J,sweetener,0
J2kj9J,flavor,0
J2kj9J,other,0
8dpDNA,nothing,1
8dpDNA,creamer,0
8dpDNA,sweetener,0
8dpDNA,flavor,0
8dpDNA,other,0
EPbVlL,nothing,1
EPbVlL,creamer,0
EPbVlL,sweetener,0
EPbVlL,flavor,0
EPbVlL,other,0
ylqbBg,nothing,1
ylqbBg,creamer,0
ylqbBg,sweetener,0
ylqbBg,flavor,0
ylqbBg,other,0
vNx6A4,nothing,
vNx6A4,creamer,
vNx6A4,sweetener,
vNx6A4,flavor,
vNx6A4,other,
KMB2og,nothing,1
KMB2og,creamer,0
KMB2og,sweetener,0
KMB2og,flavor,0
KMB2og,other,0
qbEQPO,nothing,1
qbEQPO,creamer,0
qbEQPO,sweetener,0
qbEQPO,flavor,0
qbEQPO,other,0
9dJ0O5,nothing,1
9dJ0O5,creamer,1
9dJ0O5,sweetener,0
9dJ0O5,flavor,0
9dJ0O5,other,0
BGboZR,nothing,1
BGboZR,creamer,1
BGboZR,sweetener,1
BGboZR,flavor,0
BGboZR,other,0
oAVNdO,nothing,1
oAVNdO,creamer,0
oAVNdO,sweetener,0
oAVNdO,flavor,0
oAVNdO,other,0
YZzBdN,nothing,1
YZzBdN,creamer,0
YZzBdN,sweetener,0
YZzBdN,flavor,0
YZzBdN,other,0
VZ17Z6,nothing,1
VZ17Z6,creamer,0
VZ17Z6,sweetener,0
VZ17Z6,flavor,0
VZ17Z6,other,0
RzBeZj,nothing,1
RzBeZj,creamer,0
RzBeZj,sweetener,0
RzBeZj,flavor,0
RzBeZj,other,0
0Ej0GZ,nothing,1
0Ej0GZ,creamer,1
0Ej0GZ,sweetener,1
0Ej0GZ,flavor,0
0Ej0GZ,other,0
eBxO4l,nothing,
eBxO4l,creamer,
eBxO4l,sweetener,
eBxO4l,flavor,
eBxO4l,other,
WApbkQ,nothing,0
WApbkQ,creamer,1
WApbkQ,sweetener,0
WApbkQ,flavor,0
WApbkQ,other,0
0Ej0WA,nothing,1
0Ej0WA,creamer,0
0Ej0WA,sweetener,0
0Ej0WA,flavor,0
0Ej0WA,other,0
9dJYlQ,nothing,0
9dJYlQ,creamer,1
9dJYlQ,sweetener,0
9dJYlQ,flavor,0
9dJYlQ,other,0
BGbJzQ,nothing,0
BGbJzQ,creamer,1
BGbJzQ,sweetener,1
BGbJzQ,flavor,1
BGbJzQ,other,0
OABqpR,nothing,0
OABqpR,creamer,1
OABqpR,sweetener,0
OABqpR,flavor,0
OABqpR,other,0
bl41Zg,nothing,0
bl41Zg,creamer,0
bl41Zg,sweetener,1
bl41Zg,flavor,0
bl41Zg,other,0
GrBVrk,nothing,1
GrBVrk,creamer,0
GrBVrk,sweetener,0
GrBVrk,flavor,0
GrBVrk,other,0
WApbYk,nothing,0
WApbYk,creamer,1
WApbYk,sweetener,0
WApbYk,flavor,0
WApbYk,other,0
eBxG20,nothing,1
eBxG20,creamer,0
eBxG20,sweetener,0
eBxG20,flavor,0
eBxG20,other,0
24x9NA,nothing,1
24x9NA,creamer,0
24x9NA,sweetener,0
24x9NA,flavor,0
24x9NA,other,1
NAB2qB,nothing,1
NAB2qB,creamer,0
NAB2qB,sweetener,0
NAB2qB,flavor,0
NAB2qB,other,0
RzBqoJ,nothing,1
RzBqoJ,creamer,0
RzBqoJ,sweetener,0
RzBqoJ,flavor,0
RzBqoJ,other,0
jB98xY,nothing,
jB98xY,creamer,
jB98xY,sweetener,
jB98xY,flavor,
jB98xY,other,
LdMxB2,nothing,0
LdMxB2,creamer,1
LdMxB2,sweetener,0
LdMxB2,flavor,0
LdMxB2,other,0
GrBOrz,nothing,1
GrBOrz,creamer,1
GrBOrz,sweetener,0
GrBOrz,flavor,0
GrBOrz,other,0
5dqajd,nothing,1
5dqajd,creamer,0
5dqajd,sweetener,0
5dqajd,flavor,0
5dqajd,other,0
VZ1W0E,nothing,1
VZ1W0E,creamer,0
VZ1W0E,sweetener,0
VZ1W0E,flavor,0
VZ1W0E,other,0
NABN5G,nothing,1
NABN5G,creamer,0
NABN5G,sweetener,0
NABN5G,flavor,0
NABN5G,other,0
6dQY8o,nothing,1
6dQY8o,creamer,0
6dQY8o,sweetener,0
6dQY8o,flavor,0
6dQY8o,other,0
WAp6va,nothing,0
WAp6va,creamer,1
WAp6va,sweetener,0
WAp6va,flavor,0
WAp6va,other,0
EPbVGA,nothing,0
EPbVGA,creamer,1
EPbVGA,sweetener,1
EPbVGA,flavor,0
EPbVGA,other,0
OABqQp,nothing,1
OABqQp,creamer,1
OABqQp,sweetener,1
OABqQp,flavor,0
OABqQp,other,0
DVvOop,nothing,0
DVvOop,creamer,0
DVvOop,sweetener,0
DVvOop,flavor,0
DVvOop,other,1
KMBrLz,nothing,1
KMBrLz,creamer,1
KMBrLz,sweetener,0
KMBrLz,flavor,0
KMBrLz,other,0
jB9r21,nothing,0
jB9r21,creamer,1
jB9r21,sweetener,0
jB9r21,flavor,0
jB9r21,other,0
pLPYLE,nothing,0
pLPYLE,creamer,1
pLPYLE,sweetener,0
pLPYLE,flavor,0
pLPYLE,other,0
oAV8yX,nothing,0
oAV8yX,creamer,1
oAV8yX,sweetener,0
oAV8yX,flavor,0
oAV8yX,other,0
aBrp0W,nothing,1
aBrp0W,creamer,1
aBrp0W,sweetener,1
aBrp0W,flavor,0
aBrp0W,other,0
g5NPxK,nothing,1
g5NPxK,creamer,1
g5NPxK,sweetener,0
g5NPxK,flavor,0
g5NPxK,other,0
bl41kE,nothing,0
bl41kE,creamer,1
bl41kE,sweetener,0
bl41kE,flavor,0
bl41kE,other,0
GrBO1z,nothing,0
GrBO1z,creamer,1
GrBO1z,sweetener,0
GrBO1z,flavor,0
GrBO1z,other,0
xdN8Q9,nothing,1
xdN8Q9,creamer,0
xdN8Q9,sweetener,0
xdN8Q9,flavor,0
xdN8Q9,other,0
vNx8Xv,nothing,0
vNx8Xv,creamer,1
vNx8Xv,sweetener,0
vNx8Xv,flavor,0
vNx8Xv,other,0
dY2JPN,nothing,0
dY2JPN,creamer,1
dY2JPN,sweetener,0
dY2JPN,flavor,0
dY2JPN,other,0
MAdjLE,nothing,1
MAdjLE,creamer,0
MAdjLE,sweetener,0
MAdjLE,flavor,0
MAdjLE,other,0
6dQ6xo,nothing,0
6dQ6xo,creamer,1
6dQ6xo,sweetener,0
6dQ6xo,flavor,0
6dQ6xo,other,0
7d97lZ,nothing,1
7d97lZ,creamer,0
7d97lZ,sweetener,0
7d97lZ,flavor,0
7d97lZ,other,0
0EjqPQ,nothing,1
0EjqPQ,creamer,0
0EjqPQ,sweetener,0
0EjqPQ,flavor,0
0EjqPQ,other,0
BGbJD4,nothing,1
BGbJD4,creamer,0
BGbJD4,sweetener,0
BGbJD4,flavor,0
BGbJD4,other,0
9dJYbp,nothing,1
9dJYbp,creamer,1
9dJYbp,sweetener,0
9dJYbp,flavor,0
9dJYbp,other,0
xdNbJ9,nothing,1
xdNbJ9,creamer,0
xdNbJ9,sweetener,0
xdNbJ9,flavor,0
xdNbJ9,other,0
EPbVLl,nothing,1
EPbVLl,creamer,0
EPbVLl,sweetener,0
EPbVLl,flavor,0
EPbVLl,other,0
pLPNQJ,nothing,1
pLPNQJ,creamer,0
