pourover,frenchpress,espresso,dripmachine,capsulemachine,instant,beantocupmachine,coldbrew,coffeeextract,other,n,pct
0,0,0,0,0,0,0,0,0,0,4,9.896091044037606e-4
0,0,0,0,0,0,0,0,0,1,206,0.05096486887679367
0,0,0,0,0,0,0,0,1,0,17,0.004205838693715982
0,0,0,0,0,0,0,0,1,1,2,4.948045522018803e-4
0,0,0,0,0,0,0,1,0,0,20,0.004948045522018802
0,0,0,0,0,0,0,1,0,1,9,0.002226620484908461
0,0,0,0,0,0,0,1,1,0,3,7.422068283028204e-4
0,0,0,0,0,0,1,0,0,0,20,0.004948045522018802
0,0,0,0,0,0,1,0,0,1,2,4.948045522018803e-4
0,0,0,0,0,0,1,0,1,0,1,2.4740227610094015e-4
0,0,0,0,0,0,1,1,0,0,3,7.422068283028204e-4
0,0,0,0,0,0,1,1,0,1,1,2.4740227610094015e-4
0,0,0,0,0,1,0,0,0,0,13,0.0032162295893122216
0,0,0,0,0,1,0,0,0,1,2,4.948045522018803e-4
0,0,0,0,0,1,0,0,1,0,1,2.4740227610094015e-4
0,0,0,0,0,1,0,1,0,0,1,2.4740227610094015e-4
0,0,0,0,1,0,0,0,0,0,80,0.01979218208807521
0,0,0,0,1,0,0,0,0,1,5,0.0012370113805047005
0,0,0,0,1,0,0,0,1,0,5,0.0012370113805047005
0,0,0,0,1,0,0,1,0,0,3,7.422068283028204e-4
0,0,0,0,1,0,0,1,1,0,2,4.948045522018803e-4
0,0,0,0,1,0,0,1,1,1,1,2.4740227610094015e-4
0,0,0,0,1,0,1,0,0,0,2,4.948045522018803e-4
0,0,0,0,1,0,1,0,0,1,1,2.4740227610094015e-4
0,0,0,0,1,0,1,0,1,0,1,2.4740227610094015e-4
0,0,0,0,1,1,0,0,0,0,1,2.4740227610094015e-4
0,0,0,1,0,0,0,0,0,0,204,0.050470064324591786
0,0,0,1,0,0,0,0,0,1,13,0.0032162295893122216
0,0,0,1,0,0,0,0,1,0,4,9.896091044037606e-4
0,0,0,1,0,0,0,1,0,0,15,0.003711034141514102
0,0,0,1,0,0,0,1,0,1,2,4.948045522018803e-4
0,0,0,1,0,0,0,1,1,0,1,2.4740227610094015e-4
0,0,0,1,0,0,1,0,0,0,1,2.4740227610094015e-4
0,0,0,1,0,1,0,0,0,0,4,9.896091044037606e-4
0,0,0,1,0,1,0,1,0,0,1,2.4740227610094015e-4
0,0,0,1,1,0,0,0,0,0,16,0.0039584364176150424
0,0,0,1,1,0,0,0,0,1,1,2.4740227610094015e-4
0,0,0,1,1,0,0,1,0,0,1,2.4740227610094015e-4
0,0,0,1,1,0,1,0,0,0,1,2.4740227610094015e-4
0,0,0,1,1,1,0,0,0,0,1,2.4740227610094015e-4
0,0,0,1,1,1,0,1,0,0,1,2.4740227610094015e-4
0,0,1,0,0,0,0,0,0,0,293,0.07248886689757546
0,0,1,0,0,0,0,0,0,1,34,0.008411677387431964
0,0,1,0,0,0,0,0,1,0,5,0.0012370113805047005
0,0,1,0,0,0,0,0,1,1,2,4.948045522018803e-4
0,0,1,0,0,0,0,1,0,0,22,0.0054428500742206825
0,0,1,0,0,0,0,1,0,1,6,0.0014844136566056407
0,0,1,0,0,0,0,1,1,0,1,2.4740227610094015e-4
0,0,1,0,0,0,1,0,0,0,6,0.0014844136566056407
0,0,1,0,0,0,1,1,0,0,2,4.948045522018803e-4
0,0,1,0,0,1,0,0,0,0,8,0.0019792182088075212
0,0,1,0,0,1,0,0,0,1,1,2.4740227610094015e-4
0,0,1,0,0,1,0,0,1,1,1,2.4740227610094015e-4
0,0,1,0,0,1,1,0,0,0,1,2.4740227610094015e-4
0,0,1,0,1,0,0,0,0,0,17,0.004205838693715982
0,0,1,0,1,0,0,0,0,1,4,9.896091044037606e-4
0,0,1,0,1,0,0,1,1,0,1,2.4740227610094015e-4
0,0,1,0,1,1,0,0,0,0,1,2.4740227610094015e-4
0,0,1,0,1,1,0,0,0,1,1,2.4740227610094015e-4
0,0,1,0,1,1,0,1,0,0,1,2.4740227610094015e-4
0,0,1,1,0,0,0,0,0,0,27,0.006679861454725384
0,0,1,1,0,0,0,0,0,1,5,0.0012370113805047005
0,0,1,1,0,0,0,1,0,0,6,0.0014844136566056407
0,0,1,1,0,0,1,0,0,0,1,2.4740227610094015e-4
0,0,1,1,0,0,1,0,1,1,1,2.4740227610094015e-4
0,0,1,1,0,1,0,0,0,0,2,4.948045522018803e-4
0,0,1,1,0,1,1,1,0,0,1,2.4740227610094015e-4
0,0,1,1,1,0,0,0,0,0,3,7.422068283028204e-4
0,0,1,1,1,0,0,1,0,0,1,2.4740227610094015e-4
0,0,1,1,1,0,1,0,0,0,1,2.4740227610094015e-4
0,0,1,1,1,1,0,0,0,0,1,2.4740227610094015e-4
0,1,0,0,0,0,0,0,0,0,71,0.01756556160316675
0,1,0,0,0,0,0,0,0,1,17,0.004205838693715982
