id,option,value
gMR29l,wholemilk,
gMR29l,skimmilk,
gMR29l,halfhalf,
gMR29l,coffeecreamer,
gMR29l,flavoredcreamer,
gMR29l,oatmilk,
gMR29l,almondmilk,
gMR29l,soymilk,
gMR29l,other,
BkPN0e,wholemilk,
BkPN0e,skimmilk,
BkPN0e,halfhalf,
BkPN0e,coffeecreamer,
BkPN0e,flavoredcreamer,
BkPN0e,oatmilk,
BkPN0e,almondmilk,
BkPN0e,soymilk,
BkPN0e,other,
W5G8jj,wholemilk,
W5G8jj,skimmilk,
W5G8jj,halfhalf,
W5G8jj,coffeecreamer,
W5G8jj,flavoredcreamer,
W5G8jj,oatmilk,
W5G8jj,almondmilk,
W5G8jj,soymilk,
W5G8jj,other,
4xWgGr,wholemilk,
4xWgGr,skimmilk,
4xWgGr,halfhalf,
4xWgGr,coffeecreamer,
4xWgGr,flavoredcreamer,
4xWgGr,oatmilk,
4xWgGr,almondmilk,
4xWgGr,soymilk,
4xWgGr,other,
QD27Q8,wholemilk,
QD27Q8,skimmilk,
QD27Q8,halfhalf,
QD27Q8,coffeecreamer,
QD27Q8,flavoredcreamer,
QD27Q8,oatmilk,
QD27Q8,almondmilk,
QD27Q8,soymilk,
QD27Q8,other,
V0LPeM,wholemilk,
V0LPeM,skimmilk,
V0LPeM,halfhalf,
V0LPeM,coffeecreamer,
V0LPeM,flavoredcreamer,
V0LPeM,oatmilk,
V0LPeM,almondmilk,
V0LPeM,soymilk,
V0LPeM,other,
V0Gaxg,wholemilk,
V0Gaxg,skimmilk,
V0Gaxg,halfhalf,
V0Gaxg,coffeecreamer,
V0Gaxg,flavoredcreamer,
V0Gaxg,oatmilk,
V0Gaxg,almondmilk,
V0Gaxg,soymilk,
V0Gaxg,other,
AdzRL0,wholemilk,
AdzRL0,skimmilk,
AdzRL0,halfhalf,
AdzRL0,coffeecreamer,
AdzRL0,flavoredcreamer,
AdzRL0,oatmilk,
AdzRL0,almondmilk,
AdzRL0,soymilk,
AdzRL0,other,
LbWda2,wholemilk,
LbWda2,skimmilk,
LbWda2,halfhalf,
LbWda2,coffeecreamer,
LbWda2,flavoredcreamer,
LbWda2,oatmilk,
LbWda2,almondmilk,
LbWda2,soymilk,
LbWda2,other,
EXQLWN,wholemilk,
EXQLWN,skimmilk,
EXQLWN,halfhalf,
EXQLWN,coffeecreamer,
EXQLWN,flavoredcreamer,
EXQLWN,oatmilk,
EXQLWN,almondmilk,
EXQLWN,soymilk,
EXQLWN,other,
2eNLJg,wholemilk,
2eNLJg,skimmilk,
2eNLJg,halfhalf,
2eNLJg,coffeecreamer,
2eNLJg,flavoredcreamer,
2eNLJg,oatmilk,
2eNLJg,almondmilk,
2eNLJg,soymilk,
2eNLJg,other,
xpa2K9,wholemilk,
xpa2K9,skimmilk,
xpa2K9,halfhalf,
xpa2K9,coffeecreamer,
xpa2K9,flavoredcreamer,
xpa2K9,oatmilk,
xpa2K9,almondmilk,
xpa2K9,soymilk,
xpa2K9,other,
V00RoJ,wholemilk,
V00RoJ,skimmilk,
V00RoJ,halfhalf,
V00RoJ,coffeecreamer,
V00RoJ,flavoredcreamer,
V00RoJ,oatmilk,
V00RoJ,almondmilk,
V00RoJ,soymilk,
V00RoJ,other,
7WWB4A,wholemilk,
7WWB4A,skimmilk,
7WWB4A,halfhalf,
7WWB4A,coffeecreamer,
7WWB4A,flavoredcreamer,
7WWB4A,oatmilk,
7WWB4A,almondmilk,
7WWB4A,soymilk,
7WWB4A,other,
pKL8aB,wholemilk,
pKL8aB,skimmilk,
pKL8aB,halfhalf,
pKL8aB,coffeecreamer,
pKL8aB,flavoredcreamer,
pKL8aB,oatmilk,
pKL8aB,almondmilk,
pKL8aB,soymilk,
pKL8aB,other,
Zd694B,wholemilk,1
Zd694B,skimmilk,0
Zd694B,halfhalf,0
Zd694B,coffeecreamer,0
Zd694B,flavoredcreamer,0
Zd694B,oatmilk,0
Zd694B,almondmilk,0
Zd694B,soymilk,0
Zd694B,other,0
QAeYZY,wholemilk,
QAeYZY,skimmilk,
QAeYZY,halfhalf,
QAeYZY,coffeecreamer,
QAeYZY,flavoredcreamer,
QAeYZY,oatmilk,
QAeYZY,almondmilk,
QAeYZY,soymilk,
QAeYZY,other,
QA5JYA,wholemilk,0
QA5JYA,skimmilk,0
QA5JYA,halfhalf,1
QA5JYA,coffeecreamer,0
QA5JYA,flavoredcreamer,0
QA5JYA,oatmilk,0
QA5JYA,almondmilk,0
QA5JYA,soymilk,0
QA5JYA,other,0
Rz5BPj,wholemilk,
Rz5BPj,skimmilk,
Rz5BPj,halfhalf,
Rz5BPj,coffeecreamer,
Rz5BPj,flavoredcreamer,
Rz5BPj,oatmilk,
Rz5BPj,almondmilk,
Rz5BPj,soymilk,
Rz5BPj,other,
jyDqva,wholemilk,0
jyDqva,skimmilk,0
jyDqva,halfhalf,0
jyDqva,coffeecreamer,0
jyDqva,flavoredcreamer,0
jyDqva,oatmilk,1
jyDqva,almondmilk,0
jyDqva,soymilk,0
jyDqva,other,0
eB7QoJ,wholemilk,
eB7QoJ,skimmilk,
eB7QoJ,halfhalf,
eB7QoJ,coffeecreamer,
eB7QoJ,flavoredcreamer,
eB7QoJ,oatmilk,
eB7QoJ,almondmilk,
eB7QoJ,soymilk,
eB7QoJ,other,
24xzlg,wholemilk,
24xzlg,skimmilk,
24xzlg,halfhalf,
24xzlg,coffeecreamer,
24xzlg,flavoredcreamer,
24xzlg,oatmilk,
24xzlg,almondmilk,
24xzlg,soymilk,
24xzlg,other,
DVvoqX,wholemilk,0
DVvoqX,skimmilk,0
DVvoqX,halfhalf,0
DVvoqX,coffeecreamer,0
DVvoqX,flavoredcreamer,0
DVvoqX,oatmilk,1
DVvoqX,almondmilk,0
DVvoqX,soymilk,0
DVvoqX,other,0
1r2YJQ,wholemilk,
1r2YJQ,skimmilk,
1r2YJQ,halfhalf,
1r2YJQ,coffeecreamer,
1r2YJQ,flavoredcreamer,
1r2YJQ,oatmilk,
1r2YJQ,almondmilk,
1r2YJQ,soymilk,
1r2YJQ,other,
24xYOV,wholemilk,
24xYOV,skimmilk,
24xYOV,halfhalf,
24xYOV,coffeecreamer,
24xYOV,flavoredcreamer,
24xYOV,oatmilk,
24xYOV,almondmilk,
24xYOV,soymilk,
24xYOV,other,
AlbYao,wholemilk,1
AlbYao,skimmilk,0
AlbYao,halfhalf,0
AlbYao,coffeecreamer,0
AlbYao,flavoredcreamer,0
AlbYao,oatmilk,0
AlbYao,almondmilk,0
AlbYao,soymilk,0
AlbYao,other,0
J2krYz,wholemilk,
J2krYz,skimmilk,
J2krYz,halfhalf,
J2krYz,coffeecreamer,
J2krYz,flavoredcreamer,
J2krYz,oatmilk,
J2krYz,almondmilk,
J2krYz,soymilk,
J2krYz,other,
WAp6ak,wholemilk,
WAp6ak,skimmilk,
WAp6ak,halfhalf,
WAp6ak,coffeecreamer,
WAp6ak,flavoredcreamer,
WAp6ak,oatmilk,
WAp6ak,almondmilk,
WAp6ak,soymilk,
WAp6ak,other,
aBr18q,wholemilk,
aBr18q,skimmilk,
aBr18q,halfhalf,
aBr18q,coffeecreamer,
