wholemilk,skimmilk,halfhalf,coffeecreamer,flavoredcreamer,oatmilk,almondmilk,soymilk,other,n,pct
0,0,0,0,0,0,0,0,0,13,0.0032162295893122216
0,0,0,0,0,0,0,1,0,25,0.006185056902523503
0,0,0,0,0,0,1,0,0,38,0.009401286491835725
0,0,0,0,0,1,0,0,0,230,0.05690252350321623
0,0,0,0,0,1,0,1,0,11,0.0027214250371103412
0,0,0,0,0,1,1,0,0,31,0.007669470559129144
0,0,0,0,0,1,1,1,0,10,0.002474022761009401
0,0,0,0,1,0,0,0,0,52,0.012864918357248886
0,0,0,0,1,0,1,0,0,3,7.422068283028204e-4
0,0,0,0,1,1,0,0,0,11,0.0027214250371103412
0,0,0,0,1,1,1,0,0,4,9.896091044037606e-4
0,0,0,1,0,0,0,0,0,44,0.010885700148441365
0,0,0,1,0,0,1,0,0,3,7.422068283028204e-4
0,0,0,1,0,1,0,0,0,6,0.0014844136566056407
0,0,0,1,0,1,0,1,0,2,4.948045522018803e-4
0,0,0,1,0,1,1,0,0,4,9.896091044037606e-4
0,0,0,1,1,0,0,0,0,10,0.002474022761009401
0,0,0,1,1,0,1,0,0,1,2.4740227610094015e-4
0,0,0,1,1,1,0,0,0,4,9.896091044037606e-4
0,0,0,1,1,1,1,1,0,2,4.948045522018803e-4
0,0,1,0,0,0,0,0,0,208,0.051459673428995545
0,0,1,0,0,0,0,1,0,1,2.4740227610094015e-4
0,0,1,0,0,0,1,0,0,3,7.422068283028204e-4
0,0,1,0,0,1,0,0,0,13,0.0032162295893122216
0,0,1,0,0,1,0,1,0,1,2.4740227610094015e-4
0,0,1,0,1,0,0,0,0,8,0.0019792182088075212
0,0,1,0,1,1,0,0,0,3,7.422068283028204e-4
0,0,1,1,0,0,0,0,0,9,0.002226620484908461
0,0,1,1,0,1,0,0,0,1,2.4740227610094015e-4
0,0,1,1,1,0,0,0,0,9,0.002226620484908461
0,0,1,1,1,1,0,0,0,1,2.4740227610094015e-4
0,0,1,1,1,1,1,0,0,2,4.948045522018803e-4
0,1,0,0,0,0,0,0,0,63,0.015586343394359228
0,1,0,0,0,0,0,1,0,1,2.4740227610094015e-4
0,1,0,0,0,0,1,1,0,1,2.4740227610094015e-4
0,1,0,0,0,1,0,0,0,8,0.0019792182088075212
0,1,0,0,0,1,0,1,0,1,2.4740227610094015e-4
0,1,0,0,0,1,1,1,0,1,2.4740227610094015e-4
0,1,0,0,1,1,0,0,0,1,2.4740227610094015e-4
0,1,0,1,0,0,0,0,0,2,4.948045522018803e-4
0,1,0,1,1,0,0,0,0,1,2.4740227610094015e-4
0,1,1,0,0,0,0,0,0,3,7.422068283028204e-4
0,1,1,0,0,0,1,0,0,1,2.4740227610094015e-4
0,1,1,0,0,0,1,1,0,1,2.4740227610094015e-4
0,1,1,0,0,1,0,0,0,3,7.422068283028204e-4
0,1,1,0,1,0,0,0,0,1,2.4740227610094015e-4
0,1,1,1,0,0,0,0,0,1,2.4740227610094015e-4
1,0,0,0,0,0,0,0,0,525,0.12988619495299356
1,0,0,0,0,0,0,1,0,1,2.4740227610094015e-4
1,0,0,0,0,0,1,0,0,8,0.0019792182088075212
1,0,0,0,0,1,0,0,0,86,0.02127659574468085
1,0,0,0,0,1,0,1,0,5,0.0012370113805047005
1,0,0,0,0,1,1,0,0,3,7.422068283028204e-4
1,0,0,0,0,1,1,1,0,3,7.422068283028204e-4
1,0,0,0,1,0,0,0,0,11,0.0027214250371103412
1,0,0,0,1,0,0,1,0,1,2.4740227610094015e-4
1,0,0,0,1,0,1,0,0,1,2.4740227610094015e-4
1,0,0,0,1,1,0,0,0,7,0.0017318159327065809
1,0,0,0,1,1,1,0,0,1,2.4740227610094015e-4
1,0,0,1,0,0,0,0,0,12,0.0029688273132112814
1,0,0,1,0,1,0,0,0,2,4.948045522018803e-4
1,0,0,1,1,0,0,0,0,4,9.896091044037606e-4
1,0,0,1,1,0,1,0,0,1,2.4740227610094015e-4
1,0,0,1,1,1,0,0,0,5,0.0012370113805047005
1,0,0,1,1,1,0,1,0,1,2.4740227610094015e-4
1,0,1,0,0,0,0,0,0,70,0.017318159327065808
1,0,1,0,0,0,0,1,0,3,7.422068283028204e-4
1,0,1,0,0,0,1,0,0,3,7.422068283028204e-4
1,0,1,0,0,1,0,0,0,19,0.0047006432459178625
1,0,1,0,0,1,1,0,0,5,0.0012370113805047005
1,0,1,0,1,0,0,0,0,5,0.0012370113805047005
1,0,1,0,1,0,1,0,0,1,2.4740227610094015e-4
1,0,1,0,1,1,1,1,0,2,4.948045522018803e-4
1,0,1,1,0,0,0,0,0,7,0.0017318159327065809
1,0,1,1,0,1,0,0,0,3,7.422068283028204e-4
1,0,1,1,1,0,0,0,0,3,7.422068283028204e-4
1,0,1,1,1,1,0,0,0,1,2.4740227610094015e-4
1,0,1,1,1,1,0,1,0,1,2.4740227610094015e-4
1,0,1,1,1,1,1,1,0,1,2.4740227610094015e-4
1,1,0,0,0,0,0,0,0,19,0.0047006432459178625
1,1,0,0,0,0,1,0,0,3,7.422068283028204e-4
1,1,0,0,0,0,1,1,0,1,2.4740227610094015e-4
1,1,0,0,0,1,0,0,0,6,0.0014844136566056407
1,1,0,0,0,1,0,1,0,2,4.948045522018803e-4
1,1,0,0,0,1,1,0,0,2,4.948045522018803e-4
1,1,0,0,0,1,1,1,0,1,2.4740227610094015e-4
1,1,0,1,0,1,1,0,0,1,2.4740227610094015e-4
1,1,1,0,0,0,0,0,0,3,7.422068283028204e-4
1,1,1,0,0,1,0,0,0,1,2.4740227610094015e-4
1,1,1,0,0,1,1,1,0,1,2.4740227610094015e-4
1,1,1,0,1,0,0,0,0,1,2.4740227610094015e-4
1,1,1,1,0,0,0,0,0,3,7.422068283028204e-4
1,1,1,1,1,1,1,0,0,1,2.4740227610094015e-4
1,1,1,1,1,1,1,1,0,1,2.4740227610094015e-4
,,,,,,,,,2343,0.5796635329045027
