id,option,value
gMR29l,vanillas,
gMR29l,caramel,
gMR29l,hazelnut,
gMR29l,cinnamon,
gMR29l,peppermint,
gMR29l,other,
BkPN0e,vanillas,
BkPN0e,caramel,
BkPN0e,hazelnut,
BkPN0e,cinnamon,
BkPN0e,peppermint,
BkPN0e,other,
W5G8jj,vanillas,
W5G8jj,caramel,
W5G8jj,hazelnut,
W5G8jj,cinnamon,
W5G8jj,peppermint,
W5G8jj,other,
4xWgGr,vanillas,
4xWgGr,caramel,
4xWgGr,hazelnut,
4xWgGr,cinnamon,
4xWgGr,peppermint,
4xWgGr,other,
QD27Q8,vanillas,
QD27Q8,caramel,
QD27Q8,hazelnut,
QD27Q8,cinnamon,
QD27Q8,peppermint,
QD27Q8,other,
V0LPeM,vanillas,
V0LPeM,caramel,
V0LPeM,hazelnut,
V0LPeM,cinnamon,
V0LPeM,peppermint,
V0LPeM,other,
V0Gaxg,vanillas,
V0Gaxg,caramel,
V0Gaxg,hazelnut,
V0Gaxg,cinnamon,
V0Gaxg,peppermint,
V0Gaxg,other,
AdzRL0,vanillas,
AdzRL0,caramel,
AdzRL0,hazelnut,
AdzRL0,cinnamon,
AdzRL0,peppermint,
AdzRL0,other,
LbWda2,vanillas,
LbWda2,caramel,
LbWda2,hazelnut,
LbWda2,cinnamon,
LbWda2,peppermint,
LbWda2,other,
EXQLWN,vanillas,
EXQLWN,caramel,
EXQLWN,hazelnut,
EXQLWN,cinnamon,
EXQLWN,peppermint,
EXQLWN,other,
2eNLJg,vanillas,
2eNLJg,caramel,
2eNLJg,hazelnut,
2eNLJg,cinnamon,
2eNLJg,peppermint,
2eNLJg,other,
xpa2K9,vanillas,
xpa2K9,caramel,
xpa2K9,hazelnut,
xpa2K9,cinnamon,
xpa2K9,peppermint,
xpa2K9,other,
V00RoJ,vanillas,
V00RoJ,caramel,
V00RoJ,hazelnut,
V00RoJ,cinnamon,
V00RoJ,peppermint,
V00RoJ,other,
7WWB4A,vanillas,
7WWB4A,caramel,
7WWB4A,hazelnut,
7WWB4A,cinnamon,
7WWB4A,peppermint,
7WWB4A,other,
pKL8aB,vanillas,
pKL8aB,caramel,
pKL8aB,hazelnut,
pKL8aB,cinnamon,
pKL8aB,peppermint,
pKL8aB,other,
Zd694B,vanillas,
Zd694B,caramel,
Zd694B,hazelnut,
Zd694B,cinnamon,
Zd694B,peppermint,
Zd694B,other,
QAeYZY,vanillas,
QAeYZY,caramel,
QAeYZY,hazelnut,
QAeYZY,cinnamon,
QAeYZY,peppermint,
QAeYZY,other,
QA5JYA,vanillas,
QA5JYA,caramel,
QA5JYA,hazelnut,
QA5JYA,cinnamon,
QA5JYA,peppermint,
QA5JYA,other,
Rz5BPj,vanillas,
