id,option,value
gMR29l,sugar,
gMR29l,artificial,
gMR29l,honey,
gMR29l,maple,
gMR29l,stevia,
gMR29l,agave,
gMR29l,brownsugar,
gMR29l,rawsugar,
BkPN0e,sugar,
BkPN0e,artificial,
BkPN0e,honey,
BkPN0e,maple,
BkPN0e,stevia,
BkPN0e,agave,
BkPN0e,brownsugar,
BkPN0e,rawsugar,
W5G8jj,sugar,
W5G8jj,artificial,
W5G8jj,honey,
W5G8jj,maple,
W5G8jj,stevia,
W5G8jj,agave,
W5G8jj,brownsugar,
W5G8jj,rawsugar,
4xWgGr,sugar,
4xWgGr,artificial,
4xWgGr,honey,
4xWgGr,maple,
4xWgGr,stevia,
4xWgGr,agave,
4xWgGr,brownsugar,
4xWgGr,rawsugar,
QD27Q8,sugar,
QD27Q8,artificial,
QD27Q8,honey,
QD27Q8,maple,
QD27Q8,stevia,
QD27Q8,agave,
QD27Q8,brownsugar,
QD27Q8,rawsugar,
V0LPeM,sugar,
V0LPeM,artificial,
V0LPeM,honey,
V0LPeM,maple,
V0LPeM,stevia,
V0LPeM,agave,
V0LPeM,brownsugar,
V0LPeM,rawsugar,
V0Gaxg,sugar,
V0Gaxg,artificial,
V0Gaxg,honey,
V0Gaxg,maple,
V0Gaxg,stevia,
V0Gaxg,agave,
V0Gaxg,brownsugar,
V0Gaxg,rawsugar,
AdzRL0,sugar,
AdzRL0,artificial,
AdzRL0,honey,
AdzRL0,maple,
AdzRL0,stevia,
AdzRL0,agave,
AdzRL0,brownsugar,
AdzRL0,rawsugar,
LbWda2,sugar,
LbWda2,artificial,
LbWda2,honey,
LbWda2,maple,
LbWda2,stevia,
LbWda2,agave,
LbWda2,brownsugar,
LbWda2,rawsugar,
EXQLWN,sugar,
EXQLWN,artificial,
EXQLWN,honey,
EXQLWN,maple,
EXQLWN,stevia,
EXQLWN,agave,
EXQLWN,brownsugar,
EXQLWN,rawsugar,
2eNLJg,sugar,
2eNLJg,artificial,
2eNLJg,honey,
2eNLJg,maple,
2eNLJg,stevia,
2eNLJg,agave,
2eNLJg,brownsugar,
2eNLJg,rawsugar,
xpa2K9,sugar,
xpa2K9,artificial,
xpa2K9,honey,
xpa2K9,maple,
xpa2K9,stevia,
xpa2K9,agave,
xpa2K9,brownsugar,
xpa2K9,rawsugar,
V00RoJ,sugar,
V00RoJ,artificial,
V00RoJ,honey,
V00RoJ,maple,
V00RoJ,stevia,
V00RoJ,agave,
V00RoJ,brownsugar,
V00RoJ,rawsugar,
7WWB4A,sugar,
7WWB4A,artificial,
7WWB4A,honey,
7WWB4A,maple,
7WWB4A,stevia,
7WWB4A,agave,
7WWB4A,brownsugar,
7WWB4A,rawsugar,
pKL8aB,sugar,
pKL8aB,artificial,
pKL8aB,honey,
pKL8aB,maple,
pKL8aB,stevia,
pKL8aB,agave,
pKL8aB,brownsugar,
pKL8aB,rawsugar,
Zd694B,sugar,
Zd694B,artificial,
Zd694B,honey,
Zd694B,maple,
Zd694B,stevia,
Zd694B,agave,
Zd694B,brownsugar,
Zd694B,rawsugar,
QAeYZY,sugar,
QAeYZY,artificial,
QAeYZY,honey,
QAeYZY,maple,
QAeYZY,stevia,
QAeYZY,agave,
QAeYZY,brownsugar,
QAeYZY,rawsugar,
QA5JYA,sugar,1
QA5JYA,artificial,0
QA5JYA,honey,0
QA5JYA,maple,0
QA5JYA,stevia,0
QA5JYA,agave,0
QA5JYA,brownsugar,1
QA5JYA,rawsugar,0
Rz5BPj,sugar,
Rz5BPj,artificial,
Rz5BPj,honey,
Rz5BPj,maple,
Rz5BPj,stevia,
Rz5BPj,agave,
Rz5BPj,brownsugar,
Rz5BPj,rawsugar,
jyDqva,sugar,
jyDqva,artificial,
jyDqva,honey,
jyDqva,maple,
jyDqva,stevia,
jyDqva,agave,
jyDqva,brownsugar,
jyDqva,rawsugar,
eB7QoJ,sugar,
eB7QoJ,artificial,
eB7QoJ,honey,
eB7QoJ,maple,
eB7QoJ,stevia,
eB7QoJ,agave,
eB7QoJ,brownsugar,
eB7QoJ,rawsugar,
24xzlg,sugar,
24xzlg,artificial,
24xzlg,honey,
24xzlg,maple,
24xzlg,stevia,
24xzlg,agave,
24xzlg,brownsugar,
24xzlg,rawsugar,
DVvoqX,sugar,
DVvoqX,artificial,
DVvoqX,honey,
DVvoqX,maple,
DVvoqX,stevia,
DVvoqX,agave,
DVvoqX,brownsugar,
DVvoqX,rawsugar,
1r2YJQ,sugar,
1r2YJQ,artificial,
1r2YJQ,honey,
1r2YJQ,maple,
1r2YJQ,stevia,
1r2YJQ,agave,
1r2YJQ,brownsugar,
1r2YJQ,rawsugar,
24xYOV,sugar,
24xYOV,artificial,
24xYOV,honey,
24xYOV,maple,
24xYOV,stevia,
24xYOV,agave,
24xYOV,brownsugar,
24xYOV,rawsugar,
AlbYao,sugar,
AlbYao,artificial,
AlbYao,honey,
AlbYao,maple,
AlbYao,stevia,
AlbYao,agave,
AlbYao,brownsugar,
AlbYao,rawsugar,
J2krYz,sugar,
J2krYz,artificial,
J2krYz,honey,
J2krYz,maple,
J2krYz,stevia,
J2krYz,agave,
J2krYz,brownsugar,
J2krYz,rawsugar,
WAp6ak,sugar,
WAp6ak,artificial,
WAp6ak,honey,
WAp6ak,maple,
WAp6ak,stevia,
WAp6ak,agave,
WAp6ak,brownsugar,
WAp6ak,rawsugar,
aBr18q,sugar,
aBr18q,artificial,
aBr18q,honey,
aBr18q,maple,
aBr18q,stevia,
aBr18q,agave,
aBr18q,brownsugar,
aBr18q,rawsugar,
42NYWO,sugar,
42NYWO,artificial,
42NYWO,honey,
42NYWO,maple,
42NYWO,stevia,
42NYWO,agave,
42NYWO,brownsugar,
42NYWO,rawsugar,
6dQ08e,sugar,
6dQ08e,artificial,
6dQ08e,honey,
6dQ08e,maple,
6dQ08e,stevia,
6dQ08e,agave,
6dQ08e,brownsugar,
6dQ08e,rawsugar,
J2kj9J,sugar,
J2kj9J,artificial,
J2kj9J,honey,
J2kj9J,maple,
J2kj9J,stevia,
J2kj9J,agave,
J2kj9J,brownsugar,
J2kj9J,rawsugar,
8dpDNA,sugar,
8dpDNA,artificial,
8dpDNA,honey,
8dpDNA,maple,
8dpDNA,stevia,
8dpDNA,agave,
8dpDNA,brownsugar,
8dpDNA,rawsugar,
EPbVlL,sugar,
EPbVlL,artificial,
EPbVlL,honey,
EPbVlL,maple,
EPbVlL,stevia,
EPbVlL,agave,
EPbVlL,brownsugar,
EPbVlL,rawsugar,
ylqbBg,sugar,
ylqbBg,artificial,
ylqbBg,honey,
ylqbBg,maple,
ylqbBg,stevia,
ylqbBg,agave,
ylqbBg,brownsugar,
ylqbBg,rawsugar,
vNx6A4,sugar,
vNx6A4,artificial,
vNx6A4,honey,
vNx6A4,maple,
vNx6A4,stevia,
vNx6A4,agave,
vNx6A4,brownsugar,
vNx6A4,rawsugar,
KMB2og,sugar,
KMB2og,artificial,
KMB2og,honey,
KMB2og,maple,
KMB2og,stevia,
KMB2og,agave,
KMB2og,brownsugar,
KMB2og,rawsugar,
qbEQPO,sugar,
qbEQPO,artificial,
qbEQPO,honey,
qbEQPO,maple,
qbEQPO,stevia,
qbEQPO,agave,
qbEQPO,brownsugar,
qbEQPO,rawsugar,
9dJ0O5,sugar,
9dJ0O5,artificial,
9dJ0O5,honey,
9dJ0O5,maple,
9dJ0O5,stevia,
9dJ0O5,agave,
9dJ0O5,brownsugar,
9dJ0O5,rawsugar,
BGboZR,sugar,0
BGboZR,artificial,0
BGboZR,honey,1
BGboZR,maple,0
BGboZR,stevia,0
BGboZR,agave,0
BGboZR,brownsugar,0
BGboZR,rawsugar,0
oAVNdO,sugar,
oAVNdO,artificial,
oAVNdO,honey,
oAVNdO,maple,
oAVNdO,stevia,
oAVNdO,agave,
oAVNdO,brownsugar,
oAVNdO,rawsugar,
YZzBdN,sugar,
YZzBdN,artificial,
YZzBdN,honey,
YZzBdN,maple,
YZzBdN,stevia,
YZzBdN,agave,
YZzBdN,brownsugar,
YZzBdN,rawsugar,
VZ17Z6,sugar,
VZ17Z6,artificial,
VZ17Z6,honey,
VZ17Z6,maple,
VZ17Z6,stevia,
VZ17Z6,agave,
VZ17Z6,brownsugar,
VZ17Z6,rawsugar,
RzBeZj,sugar,
RzBeZj,artificial,
RzBeZj,honey,
RzBeZj,maple,
RzBeZj,stevia,
RzBeZj,agave,
RzBeZj,brownsugar,
RzBeZj,rawsugar,
0Ej0GZ,sugar,1
0Ej0GZ,artificial,0
0Ej0GZ,honey,0
0Ej0GZ,maple,0
0Ej0GZ,stevia,0
0Ej0GZ,agave,0
0Ej0GZ,brownsugar,1
0Ej0GZ,rawsugar,0
eBxO4l,sugar,
eBxO4l,artificial,
eBxO4l,honey,
eBxO4l,maple,
eBxO4l,stevia,
eBxO4l,agave,
eBxO4l,brownsugar,
eBxO4l,rawsugar,
WApbkQ,sugar,
WApbkQ,artificial,
WApbkQ,honey,
WApbkQ,maple,
WApbkQ,stevia,
WApbkQ,agave,
WApbkQ,brownsugar,
WApbkQ,rawsugar,
0Ej0WA,sugar,
0Ej0WA,artificial,
0Ej0WA,honey,
0Ej0WA,maple,
0Ej0WA,stevia,
0Ej0WA,agave,
0Ej0WA,brownsugar,
0Ej0WA,rawsugar,
9dJYlQ,sugar,
9dJYlQ,artificial,
9dJYlQ,honey,
9dJYlQ,maple,
9dJYlQ,stevia,
9dJYlQ,agave,
9dJYlQ,brownsugar,
9dJYlQ,rawsugar,
BGbJzQ,sugar,0
BGbJzQ,artificial,0
BGbJzQ,honey,0
BGbJzQ,maple,0
BGbJzQ,stevia,0
BGbJzQ,agave,0
BGbJzQ,brownsugar,1
BGbJzQ,rawsugar,0
OABqpR,sugar,
OABqpR,artificial,
OABqpR,honey,
OABqpR,maple,
OABqpR,stevia,
OABqpR,agave,
OABqpR,brownsugar,
OABqpR,rawsugar,
bl41Zg,sugar,1
bl41Zg,artificial,0
bl41Zg,honey,0
bl41Zg,maple,0
bl41Zg,stevia,0
bl41Zg,agave,0
