id,sugar,artificial,honey,maple,stevia,agave,brownsugar,rawsugar,selection_ct
gMR29l,,,,,,,,,0
BkPN0e,,,,,,,,,0
W5G8jj,,,,,,,,,0
4xWgGr,,,,,,,,,0
QD27Q8,,,,,,,,,0
V0LPeM,,,,,,,,,0
V0Gaxg,,,,,,,,,0
AdzRL0,,,,,,,,,0
LbWda2,,,,,,,,,0
EXQLWN,,,,,,,,,0
2eNLJg,,,,,,,,,0
xpa2K9,,,,,,,,,0
V00RoJ,,,,,,,,,0
7WWB4A,,,,,,,,,0
pKL8aB,,,,,,,,,0
Zd694B,,,,,,,,,0
QAeYZY,,,,,,,,,0
QA5JYA,1,0,0,0,0,0,1,0,2
Rz5BPj,,,,,,,,,0
jyDqva,,,,,,,,,0
eB7QoJ,,,,,,,,,0
24xzlg,,,,,,,,,0
DVvoqX,,,,,,,,,0
1r2YJQ,,,,,,,,,0
24xYOV,,,,,,,,,0
AlbYao,,,,,,,,,0
J2krYz,,,,,,,,,0
WAp6ak,,,,,,,,,0
aBr18q,,,,,,,,,0
42NYWO,,,,,,,,,0
6dQ08e,,,,,,,,,0
J2kj9J,,,,,,,,,0
8dpDNA,,,,,,,,,0
EPbVlL,,,,,,,,,0
ylqbBg,,,,,,,,,0
vNx6A4,,,,,,,,,0
KMB2og,,,,,,,,,0
qbEQPO,,,,,,,,,0
9dJ0O5,,,,,,,,,0
BGboZR,0,0,1,0,0,0,0,0,1
oAVNdO,,,,,,,,,0
YZzBdN,,,,,,,,,0
VZ17Z6,,,,,,,,,0
RzBeZj,,,,,,,,,0
0Ej0GZ,1,0,0,0,0,0,1,0,2
eBxO4l,,,,,,,,,0
WApbkQ,,,,,,,,,0
0Ej0WA,,,,,,,,,0
9dJYlQ,,,,,,,,,0
BGbJzQ,0,0,0,0,0,0,1,0,1
OABqpR,,,,,,,,,0
bl41Zg,1,0,0,0,0,0,0,0,1
GrBVrk,,,,,,,,,0
WApbYk,,,,,,,,,0
eBxG20,,,,,,,,,0
24x9NA,,,,,,,,,0
NAB2qB,,,,,,,,,0
RzBqoJ,,,,,,,,,0
jB98xY,,,,,,,,,0
LdMxB2,,,,,,,,,0
GrBOrz,,,,,,,,,0
5dqajd,,,,,,,,,0
VZ1W0E,,,,,,,,,0
NABN5G,,,,,,,,,0
6dQY8o,,,,,,,,,0
WAp6va,,,,,,,,,0
EPbVGA,1,0,0,0,0,0,0,0,1
OABqQp,0,0,0,0,0,0,1,1,2
DVvOop,,,,,,,,,0
KMBrLz,,,,,,,,,0
jB9r21,,,,,,,,,0
pLPYLE,,,,,,,,,0
oAV8yX,,,,,,,,,0
aBrp0W,1,1,0,0,0,0,0,0,2
g5NPxK,,,,,,,,,0
bl41kE,,,,,,,,,0
GrBO1z,,,,,,,,,0
xdN8Q9,,,,,,,,,0
vNx8Xv,,,,,,,,,0
dY2JPN,,,,,,,,,0
MAdjLE,,,,,,,,,0
6dQ6xo,,,,,,,,,0
7d97lZ,,,,,,,,,0
0EjqPQ,,,,,,,,,0
BGbJD4,,,,,,,,,0
9dJYbp,,,,,,,,,0
xdNbJ9,,,,,,,,,0
EPbVLl,,,,,,,,,0
pLPNQJ,,,,,,,,,0
AlbMLW,,,,,,,,,0
EPboPq,,,,,,,,,0
ylq8yW,,,,,,,,,0
J2kEDz,,,,,,,,,0
24x9Lg,,,,,,,,,0
0EjYb6,,,,,,,,,0
ZdRb6a,,,,,,,,,0
WApbdP,,,,,,,,,0
24xY69,,,,,,,,,0
RzBqWd,,,,,,,,,0
RzBqLv,,,,,,,,,0
oAV8d5,,,,,,,,,0
oAV8OM,,,,,,,,,0
AlbYyW,0,0,1,0,0,0,0,0,1
KMB4kk,,,,,,,,,0
42N0Kd,,,,,,,,,0
0Ej0VZ,0,1,1,1,0,1,0,0,4
rlrQQo,,,,,,,,,0
vNx84X,,,,,,,,,0
OABxLk,,,,,,,,,0
MAd2V0,,,,,,,,,0
8dpbGk,,,,,,,,,0
zKQ8ja,,,,,,,,,0
YZzBLJ,0,0,0,1,0,0,0,0,1
QABNdl,0,1,0,0,0,0,0,0,1
8dpbko,,,,,,,,,0
XeB6Ee,,,,,,,,,0
KMBroK,,,,,,,,,0
24x9rg,,,,,,,,,0
dY2JjD,,,,,,,,,0
LdMjyz,,,,,,,,,0
9dJYM1,,,,,,,,,0
kYR4rj,,,,,,,,,0
pLPN7q,,,,,,,,,0
6dQ0eO,1,0,0,0,0,0,0,1,2
42NlLd,,,,,,,,,0
LdMxaj,,,,,,,,,0
BGbJZ4,,,,,,,,,0
J2kER7,,,,,,,,,0
eBxgQO,1,1,1,1,0,0,1,0,5
J2kELz,1,0,0,0,0,0,0,0,1
LdMjqJ,,,,,,,,,0
oAVNeM,,,,,,,,,0
oAVZ95,,,,,,,,,0
eBxGvE,,,,,,,,,0
g5NPYO,,,,,,,,,0
xdNbxo,,,,,,,,,0
zKQ8ZZ,,,,,,,,,0
rlrQxl,,,,,,,,,0
VZ1W8N,,,,,,,,,0
WAp6PN,,,,,,,,,0
DVvo9l,0,0,0,0,0,0,0,1,1
ylqAdB,,,,,,,,,0
rlrQP2,,,,,,,,,0
EPbo0L,,,,,,,,,0
ylqAY6,,,,,,,,,0
AlbR7B,,,,,,,,,0
EPbVxA,,,,,,,,,0
BGboo4,,,,,,,,,0
dY2GGD,,,,,,,,,0
oAV8o5,,,,,,,,,0
WApa9N,1,0,0,0,0,0,0,0,1
BGbJE5,1,0,0,0,0,0,0,0,1
0EjzA9,,,,,,,,,0
vNx6YX,,,,,,,,,0
WApaAQ,,,,,,,,,0
J2krZX,,,,,,,,,0
oAVN6V,,,,,,,,,0
VZ1WVN,,,,,,,,,0
42Nlko,,,,,,,,,0
RzBq4P,,,,,,,,,0
1r2QM4,,,,,,,,,0
LdM4d2,,,,,,,,,0
42N0dB,,,,,,,,,0
jB98M9,,,,,,,,,0
1r205O,,,,,,,,,0
5dq0yE,,,,,,,,,0
YZzb4N,,,,,,,,,0
QABq7Y,,,,,,,,,0
PABQDd,,,,,,,,,0
9dJY7E,1,1,0,0,0,0,0,0,2
24xYgM,,,,,,,,,0
KMB25K,,,,,,,,,0
RzBqzP,,,,,,,,,0
GrBEvo,,,,,,,,,0
rlrQrv,,,,,,,,,0
LdMxpz,,,,,,,,,0
ZdRblA,,,,,,,,,0
bl4My7,,,,,,,,,0
XeB72d,,,,,,,,,0
zKQBXq,,,,,,,,,0
rlr9Yv,1,1,0,0,1,0,1,1,5
dY2GNy,,,,,,,,,0
zKQA18,1,0,0,0,0,0,0,0,1
ZdRAAV,0,1,0,0,1,0,0,0,2
VZ17Ev,,,,,,,,,0
NAB2Ab,,,,,,,,,0
rlr9yM,,,,,,,,,0
5dqYbv,,,,,,,,,0
AlbRKW,,,,,,,,,0
ylqb6X,,,,,,,,,0
dY2o6d,,,,,,,,,0
dY2oKz,,,,,,,,,0
oAVN61,,,,,,,,,0
rlr9yv,,,,,,,,,0
kYR4Nr,,,,,,,,,0
zKQ4kq,,,,,,,,,0
RzBeoP,,,,,,,,,0
24xYJL,,,,,,,,,0
ZdRAWA,,,,,,,,,0
rlr9OL,,,,,,,,,0
PABQdQ,,,,,,,,,0
1r20NQ,,,,,,,,,0
qbEqj2,,,,,,,,,0
g5NV9P,,,,,,,,,0
42NY8Y,,,,,,,,,0
GrBVJp,,,,,,,,,0
7d90RL,,,,,,,,,0
lNl8WV,1,0,0,0,0,0,0,0,1
vNxaEA,,,,,,,,,0
0EjY5P,,,,,,,,,0
eBxO5q,0,0,0,0,0,0,1,0,1
blx47Z,1,0,0,0,0,0,0,0,1
lNlXyB,0,0,0,0,0,0,0,1,1
1r2Yx4,,,,,,,,,0
1r20WM,,,,,,,,,0
J2krad,,,,,,,,,0
DVvo05,,,,,,,,,0
