id,option,value
gMR29l,home,
gMR29l,office,
gMR29l,onthego,
gMR29l,cafe,
gMR29l,other,
BkPN0e,home,
BkPN0e,office,
BkPN0e,onthego,
BkPN0e,cafe,
BkPN0e,other,
W5G8jj,home,
W5G8jj,office,
W5G8jj,onthego,
W5G8jj,cafe,
W5G8jj,other,
4xWgGr,home,
4xWgGr,office,
4xWgGr,onthego,
4xWgGr,cafe,
4xWgGr,other,
QD27Q8,home,
QD27Q8,office,
QD27Q8,onthego,
QD27Q8,cafe,
QD27Q8,other,
V0LPeM,home,
V0LPeM,office,
V0LPeM,onthego,
V0LPeM,cafe,
V0LPeM,other,
V0Gaxg,home,1
V0Gaxg,office,1
V0Gaxg,onthego,1
V0Gaxg,cafe,1
V0Gaxg,other,0
AdzRL0,home,
AdzRL0,office,
AdzRL0,onthego,
AdzRL0,cafe,
AdzRL0,other,
LbWda2,home,0
LbWda2,office,0
LbWda2,onthego,0
LbWda2,cafe,1
LbWda2,other,0
EXQLWN,home,
EXQLWN,office,
EXQLWN,onthego,
EXQLWN,cafe,
EXQLWN,other,
2eNLJg,home,
2eNLJg,office,
2eNLJg,onthego,
2eNLJg,cafe,
2eNLJg,other,
xpa2K9,home,0
xpa2K9,office,0
xpa2K9,onthego,0
xpa2K9,cafe,0
xpa2K9,other,0
V00RoJ,home,0
V00RoJ,office,0
V00RoJ,onthego,0
V00RoJ,cafe,0
V00RoJ,other,0
7WWB4A,home,1
7WWB4A,office,1
7WWB4A,onthego,1
7WWB4A,cafe,1
7WWB4A,other,0
pKL8aB,home,0
pKL8aB,office,1
pKL8aB,onthego,0
pKL8aB,cafe,0
pKL8aB,other,0
Zd694B,home,1
Zd694B,office,1
Zd694B,onthego,0
Zd694B,cafe,1
Zd694B,other,0
QAeYZY,home,0
QAeYZY,office,1
QAeYZY,onthego,0
QAeYZY,cafe,1
QAeYZY,other,0
QA5JYA,home,1
QA5JYA,office,1
QA5JYA,onthego,1
QA5JYA,cafe,0
QA5JYA,other,0
Rz5BPj,home,0
Rz5BPj,office,0
Rz5BPj,onthego,0
Rz5BPj,cafe,1
Rz5BPj,other,0
jyDqva,home,0
jyDqva,office,1
jyDqva,onthego,0
jyDqva,cafe,0
jyDqva,other,0
eB7QoJ,home,1
eB7QoJ,office,0
eB7QoJ,onthego,0
eB7QoJ,cafe,0
eB7QoJ,other,0
24xzlg,home,1
24xzlg,office,0
24xzlg,onthego,0
24xzlg,cafe,0
24xzlg,other,0
DVvoqX,home,1
DVvoqX,office,1
DVvoqX,onthego,1
DVvoqX,cafe,0
DVvoqX,other,0
1r2YJQ,home,1
1r2YJQ,office,1
1r2YJQ,onthego,1
1r2YJQ,cafe,1
1r2YJQ,other,0
24xYOV,home,1
24xYOV,office,0
24xYOV,onthego,0
24xYOV,cafe,0
24xYOV,other,0
AlbYao,home,1
AlbYao,office,1
AlbYao,onthego,0
AlbYao,cafe,0
AlbYao,other,0
J2krYz,home,1
J2krYz,office,0
J2krYz,onthego,0
J2krYz,cafe,1
J2krYz,other,0
WAp6ak,home,0
WAp6ak,office,0
WAp6ak,onthego,0
WAp6ak,cafe,0
WAp6ak,other,0
aBr18q,home,1
aBr18q,office,0
aBr18q,onthego,1
aBr18q,cafe,0
aBr18q,other,0
42NYWO,home,
42NYWO,office,
42NYWO,onthego,
42NYWO,cafe,
42NYWO,other,
6dQ08e,home,1
6dQ08e,office,0
6dQ08e,onthego,1
6dQ08e,cafe,1
6dQ08e,other,0
J2kj9J,home,
J2kj9J,office,
J2kj9J,onthego,
J2kj9J,cafe,
J2kj9J,other,
8dpDNA,home,
8dpDNA,office,
8dpDNA,onthego,
8dpDNA,cafe,
8dpDNA,other,
EPbVlL,home,1
EPbVlL,office,0
EPbVlL,onthego,0
EPbVlL,cafe,0
EPbVlL,other,0
ylqbBg,home,1
ylqbBg,office,1
ylqbBg,onthego,1
ylqbBg,cafe,1
ylqbBg,other,0
vNx6A4,home,
vNx6A4,office,
vNx6A4,onthego,
vNx6A4,cafe,
vNx6A4,other,
KMB2og,home,
KMB2og,office,
KMB2og,onthego,
KMB2og,cafe,
KMB2og,other,
qbEQPO,home,1
qbEQPO,office,1
qbEQPO,onthego,0
qbEQPO,cafe,1
qbEQPO,other,0
9dJ0O5,home,1
9dJ0O5,office,1
9dJ0O5,onthego,0
9dJ0O5,cafe,1
9dJ0O5,other,0
BGboZR,home,1
BGboZR,office,0
BGboZR,onthego,1
BGboZR,cafe,1
BGboZR,other,0
oAVNdO,home,1
oAVNdO,office,0
oAVNdO,onthego,0
oAVNdO,cafe,0
oAVNdO,other,0
YZzBdN,home,1
YZzBdN,office,1
YZzBdN,onthego,0
YZzBdN,cafe,0
YZzBdN,other,0
VZ17Z6,home,1
VZ17Z6,office,1
VZ17Z6,onthego,0
VZ17Z6,cafe,0
VZ17Z6,other,0
RzBeZj,home,1
RzBeZj,office,0
RzBeZj,onthego,0
RzBeZj,cafe,0
RzBeZj,other,0
0Ej0GZ,home,1
0Ej0GZ,office,1
0Ej0GZ,onthego,0
0Ej0GZ,cafe,1
0Ej0GZ,other,0
eBxO4l,home,
eBxO4l,office,
eBxO4l,onthego,
eBxO4l,cafe,
eBxO4l,other,
WApbkQ,home,1
WApbkQ,office,0
WApbkQ,onthego,0
WApbkQ,cafe,1
WApbkQ,other,0
0Ej0WA,home,1
0Ej0WA,office,0
0Ej0WA,onthego,0
0Ej0WA,cafe,0
0Ej0WA,other,0
9dJYlQ,home,1
9dJYlQ,office,1
9dJYlQ,onthego,0
9dJYlQ,cafe,0
9dJYlQ,other,0
BGbJzQ,home,1
BGbJzQ,office,1
BGbJzQ,onthego,1
BGbJzQ,cafe,0
BGbJzQ,other,0
OABqpR,home,1
OABqpR,office,0
OABqpR,onthego,0
OABqpR,cafe,0
OABqpR,other,0
bl41Zg,home,0
bl41Zg,office,0
bl41Zg,onthego,0
bl41Zg,cafe,1
bl41Zg,other,0
GrBVrk,home,0
