tastesgood,caffeine,ritual,laxative,other,n,pct
0,0,0,0,0,2,4.948045522018803e-4
0,0,0,0,1,46,0.011380504700643246
0,0,0,1,0,7,0.0017318159327065809
0,0,0,1,1,1,2.4740227610094015e-4
0,0,1,0,0,39,0.009648688767936665
0,0,1,0,1,2,4.948045522018803e-4
0,0,1,1,0,3,7.422068283028204e-4
0,1,0,0,0,62,0.015338941118258289
0,1,0,0,1,4,9.896091044037606e-4
0,1,0,1,0,9,0.002226620484908461
0,1,0,1,1,1,2.4740227610094015e-4
0,1,1,0,0,28,0.006927263730826323
0,1,1,0,1,2,4.948045522018803e-4
0,1,1,1,0,9,0.002226620484908461
1,0,0,0,0,693,0.1714497773379515
1,0,0,0,1,33,0.008164275111331025
1,0,0,1,0,34,0.008411677387431964
1,0,0,1,1,1,2.4740227610094015e-4
1,0,1,0,0,611,0.1511627906976744
1,0,1,0,1,26,0.006432459178624443
1,0,1,1,0,50,0.012370113805047007
1,0,1,1,1,1,2.4740227610094015e-4
1,1,0,0,0,659,0.16303809995051954
1,1,0,0,1,14,0.0034636318654131617
1,1,0,1,0,79,0.01954477981197427
1,1,0,1,1,3,7.422068283028204e-4
1,1,1,0,0,864,0.21375556655121228
1,1,1,0,1,20,0.004948045522018802
1,1,1,1,0,253,0.06259277585353785
1,1,1,1,1,14,0.0034636318654131617
,,,,,472,0.11677387431964374
