id,tastesgood,caffeine,ritual,laxative,other,selection_ct
gMR29l,,,,,,0
BkPN0e,,,,,,0
W5G8jj,,,,,,0
4xWgGr,,,,,,0
QD27Q8,,,,,,0
V0LPeM,,,,,,0
V0Gaxg,,,,,,0
AdzRL0,,,,,,0
LbWda2,,,,,,0
EXQLWN,,,,,,0
2eNLJg,,,,,,0
xpa2K9,,,,,,0
V00RoJ,,,,,,0
7WWB4A,,,,,,0
pKL8aB,,,,,,0
Zd694B,,,,,,0
QAeYZY,,,,,,0
QA5JYA,,,,,,0
Rz5BPj,,,,,,0
jyDqva,,,,,,0
eB7QoJ,,,,,,0
24xzlg,,,,,,0
DVvoqX,,,,,,0
1r2YJQ,,,,,,0
24xYOV,,,,,,0
AlbYao,,,,,,0
J2krYz,,,,,,0
WAp6ak,,,,,,0
aBr18q,,,,,,0
42NYWO,,,,,,0
6dQ08e,,,,,,0
J2kj9J,,,,,,0
8dpDNA,,,,,,0
EPbVlL,,,,,,0
ylqbBg,1,0,0,0,0,1
vNx6A4,,,,,,0
KMB2og,,,,,,0
qbEQPO,,,,,,0
9dJ0O5,,,,,,0
BGboZR,,,,,,0
oAVNdO,,,,,,0
YZzBdN,1,1,0,0,0,2
VZ17Z6,1,0,0,0,0,1
RzBeZj,1,1,1,0,0,3
0Ej0GZ,,,,,,0
eBxO4l,,,,,,0
WApbkQ,1,0,1,0,0,2
0Ej0WA,1,1,0,0,0,2
9dJYlQ,1,1,0,0,0,2
BGbJzQ,,,,,,0
OABqpR,,,,,,0
bl41Zg,1,1,0,0,0,2
GrBVrk,,,,,,0
WApbYk,1,0,1,0,0,2
eBxG20,1,1,1,0,0,3
24x9NA,,,,,,0
NAB2qB,1,0,1,0,0,2
RzBqoJ,1,1,1,0,0,3
jB98xY,,,,,,0
LdMxB2,,,,,,0
GrBOrz,,,,,,0
5dqajd,1,1,1,0,0,3
VZ1W0E,1,1,1,0,0,3
NABN5G,1,0,1,0,0,2
6dQY8o,1,0,1,0,0,2
WAp6va,1,1,1,0,0,3
EPbVGA,,,,,,0
OABqQp,1,1,1,0,0,3
DVvOop,,,,,,0
KMBrLz,,,,,,0
jB9r21,0,0,1,0,0,1
pLPYLE,1,1,0,0,0,2
oAV8yX,,,,,,0
aBrp0W,,,,,,0
g5NPxK,1,0,0,0,0,1
bl41kE,1,1,1,1,0,4
GrBO1z,1,1,1,0,0,3
xdN8Q9,1,0,0,0,0,1
vNx8Xv,1,1,0,0,0,2
dY2JPN,1,0,1,1,0,3
MAdjLE,1,0,0,0,0,1
6dQ6xo,1,0,0,0,0,1
7d97lZ,1,1,0,0,0,2
0EjqPQ,1,1,1,0,0,3
BGbJD4,1,1,1,1,0,4
9dJYbp,1,1,0,0,0,2
xdNbJ9,1,0,0,0,0,1
EPbVLl,,,,,,0
pLPNQJ,1,1,1,1,0,4
AlbMLW,1,0,1,0,0,2
EPboPq,1,1,0,0,0,2
ylq8yW,1,1,1,1,0,4
J2kEDz,1,0,1,1,0,3
24x9Lg,1,1,0,0,0,2
0EjYb6,1,1,1,0,0,3
ZdRb6a,1,1,1,0,0,3
WApbdP,1,1,1,0,0,3
24xY69,1,0,1,0,0,2
RzBqWd,1,0,1,0,0,2
RzBqLv,1,0,0,0,0,1
oAV8d5,1,1,1,0,0,3
oAV8OM,1,0,1,0,0,2
AlbYyW,1,1,0,0,0,2
KMB4kk,1,1,0,0,0,2
42N0Kd,1,1,1,0,0,3
0Ej0VZ,1,1,0,0,0,2
rlrQQo,1,1,1,0,0,3
vNx84X,1,0,0,0,0,1
OABxLk,1,0,0,0,0,1
MAd2V0,1,0,0,0,0,1
8dpbGk,1,1,1,0,0,3
zKQ8ja,1,0,1,0,0,2
YZzBLJ,0,1,0,0,0,1
QABNdl,1,1,0,0,0,2
8dpbko,1,0,1,0,0,2
XeB6Ee,1,1,1,1,0,4
KMBroK,1,0,0,0,0,1
24x9rg,1,1,1,0,0,3
dY2JjD,0,0,1,0,0,1
LdMjyz,1,0,0,0,0,1
9dJYM1,1,0,1,0,0,2
kYR4rj,1,0,1,0,0,2
pLPN7q,1,0,0,0,0,1
6dQ0eO,1,0,0,0,0,1
42NlLd,1,1,1,1,0,4
LdMxaj,1,0,1,0,0,2
BGbJZ4,1,1,1,1,0,4
J2kER7,1,1,1,0,0,3
eBxgQO,0,0,0,0,1,1
J2kELz,1,0,0,0,0,1
LdMjqJ,1,1,1,0,0,3
oAVNeM,1,1,0,0,0,2
oAVZ95,1,0,1,0,0,2
eBxGvE,1,1,0,0,0,2
g5NPYO,1,1,1,1,0,4
xdNbxo,1,1,0,0,0,2
zKQ8ZZ,1,1,1,0,0,3
rlrQxl,1,1,1,1,0,4
VZ1W8N,1,1,1,1,0,4
WAp6PN,1,1,1,0,0,3
DVvo9l,1,1,1,1,0,4
ylqAdB,1,1,0,0,0,2
rlrQP2,,,,,,0
EPbo0L,1,1,1,1,1,5
ylqAY6,1,0,0,0,0,1
AlbR7B,1,0,0,0,0,1
EPbVxA,1,0,0,0,0,1
BGboo4,1,1,0,0,0,2
dY2GGD,1,1,0,0,0,2
oAV8o5,1,0,1,0,0,2
WApa9N,0,0,0,1,0,1
BGbJE5,0,1,0,0,0,1
0EjzA9,1,1,1,0,0,3
vNx6YX,1,1,0,0,0,2
WApaAQ,1,0,1,0,0,2
J2krZX,1,1,0,0,0,2
oAVN6V,1,1,0,0,0,2
VZ1WVN,1,1,0,0,0,2
42Nlko,1,1,1,0,0,3
RzBq4P,1,0,0,0,0,1
1r2QM4,1,0,0,0,0,1
LdM4d2,1,1,0,0,0,2
42N0dB,1,1,0,0,0,2
jB98M9,1,0,0,0,0,1
1r205O,1,0,1,0,0,2
5dq0yE,1,0,1,0,0,2
YZzb4N,1,0,0,0,0,1
QABq7Y,1,0,1,0,0,2
PABQDd,1,0,1,0,0,2
9dJY7E,1,1,1,0,0,3
24xYgM,1,1,1,0,0,3
KMB25K,1,0,0,0,0,1
RzBqzP,,,,,,0
GrBEvo,1,0,1,0,0,2
rlrQrv,1,1,0,0,0,2
LdMxpz,1,1,1,0,0,3
ZdRblA,1,0,1,0,0,2
bl4My7,1,1,1,1,0,4
XeB72d,1,1,0,0,0,2
zKQBXq,1,1,1,0,0,3
rlr9Yv,1,1,0,0,0,2
dY2GNy,1,1,1,1,0,4
zKQA18,1,1,1,0,0,3
ZdRAAV,1,0,1,0,0,2
VZ17Ev,1,1,1,0,0,3
NAB2Ab,1,0,1,0,0,2
rlr9yM,1,1,1,0,0,3
5dqYbv,1,1,0,0,0,2
AlbRKW,1,1,1,0,0,3
ylqb6X,1,0,0,0,0,1
dY2o6d,,,,,,0
dY2oKz,1,0,0,0,0,1
oAVN61,1,1,1,0,0,3
rlr9yv,1,0,1,0,0,2
kYR4Nr,1,1,1,1,0,4
zKQ4kq,1,1,0,0,0,2
RzBeoP,1,0,0,0,0,1
24xYJL,1,0,1,0,0,2
ZdRAWA,1,1,1,0,0,3
rlr9OL,1,0,1,0,0,2
PABQdQ,1,1,0,0,0,2
1r20NQ,1,0,1,0,0,2
qbEqj2,1,1,1,0,0,3
g5NV9P,1,1,0,0,0,2
42NY8Y,1,1,0,0,0,2
GrBVJp,1,1,1,0,0,3
7d90RL,1,0,0,0,0,1
lNl8WV,1,1,0,0,0,2
vNxaEA,1,1,0,0,0,2
0EjY5P,1,0,1,0,0,2
eBxO5q,1,0,0,0,0,1
blx47Z,,,,,,0
lNlXyB,1,1,1,0,1,4
1r2Yx4,1,1,1,0,0,3
1r20WM,1,1,1,0,0,3
J2krad,1,1,1,1,0,4
DVvo05,1,0,1,0,0,2
VZ1aJj,1,1,1,0,0,3
42N0ab,,,,,,0
aBrJxZ,1,0,1,0,0,2
9dJ0qG,1,1,1,0,0,3
PABN1x,1,0,1,0,0,2
